Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
CRI,Costa Rica,2020,16,7.069,1.134,0.722,0.083,7.83,969.89,12394.05,6.63,,108.29,132.68,,High income,Latin America & Caribbean ,-84.0089,9.63701
CRI,Costa Rica,2021,23,6.582,1.584,0.744,0.102,7.61,977.15,12838.12,6.25,,107.19,138.9,,High income,Latin America & Caribbean ,-84.0089,9.63701
CRI,Costa Rica,2022,23,6.609,1.587,0.503,0.116,7.18,978.84,13625.9,,,106.2,131.91,,High income,Latin America & Caribbean ,-84.0089,9.63701
CRI,Costa Rica,2023,12,6.955,1.561,0.661,0.123,,,16942.03,,,106.16,125.51,,High income,Latin America & Caribbean ,-84.0089,9.63701
CRI,Costa Rica,2024,6,7.274,1.492,0.68,0.118,,,18587.15,,,,,,High income,Latin America & Caribbean ,-84.0089,9.63701
CYP,Cyprus,2019,45,6.159,1.213,1.026,0.051,7.07,2093.06,29703.05,5.16,,100.48,100.85,88.49,High income,Europe & Central Asia,33.3736,35.1676
CYP,Cyprus,2020,39,6.223,1.377,0.801,0.061,8.76,2483.06,28649.02,5.56,,100.74,101.43,92.94,High income,Europe & Central Asia,33.3736,35.1676
CYP,Cyprus,2021,41,6.221,1.815,0.819,0.062,9.48,3118.24,33734.04,5.08,,99.1,102.5,96.54,High income,Europe & Central Asia,33.3736,35.1676
CYP,Cyprus,2022,46,6.13,1.824,0.58,0.05,8.87,2864.16,33894.45,4.74,,97.0,104.01,98.3,High income,Europe & Central Asia,33.3736,35.1676
CYP,Cyprus,2023,50,6.068,1.794,0.744,0.049,,,36551.42,,,98.59,102.4,99.02,High income,Europe & Central Asia,33.3736,35.1676
CYP,Cyprus,2024,67,5.942,1.72,0.84,0.041,,,38654.17,,,,,,High income,Europe & Central Asia,33.3736,35.1676
CZE,Czechia,2019,19,6.911,1.212,0.895,0.05,7.61,1805.44,24062.72,4.47,,99.28,100.22,66.88,High income,Europe & Central Asia,14.4205,50.0878
CZE,Czechia,2020,18,6.965,1.37,0.703,0.046,9.16,2106.28,23472.89,4.63,,99.78,99.33,67.18,High income,Europe & Central Asia,14.4205,50.0878
CZE,Czechia,2021,18,6.92,1.815,0.715,0.048,9.45,2538.03,27696.46,4.65,,101.68,102.09,69.84,High income,Europe & Central Asia,14.4205,50.0878
CZE,Czechia,2022,18,6.845,1.823,0.477,0.05,8.8,2431.08,28282.22,4.3,,100.98,102.94,70.81,High income,Europe & Central Asia,14.4205,50.0878
CZE,Czechia,2023,18,6.822,1.783,0.638,0.068,8.54,2609.24,31591.06,,,99.7,97.62,66.73,High income,Europe & Central Asia,14.4205,50.0878
CZE,Czechia,2024,20,6.775,1.692,0.658,0.084,,,31706.62,,,,,,High income,Europe & Central Asia,14.4205,50.0878
DEU,Germany,2019,17,7.076,1.314,0.972,0.309,11.72,5488.54,47623.87,5.03,,102.55,101.15,72.71,High income,Europe & Central Asia,13.4115,52.5235
DEU,Germany,2020,13,7.155,1.48,0.757,0.306,12.69,5932.2,47379.77,5.52,,102.0,101.31,72.39,High income,Europe & Central Asia,13.4115,52.5235
DEU,Germany,2021,14,7.034,1.924,0.776,0.358,12.9,6638.21,52265.65,5.37,,101.35,101.2,75.67,High income,Europe & Central Asia,13.4115,52.5235
DEU,Germany,2022,16,6.892,1.919,0.539,0.365,12.61,6182.34,49686.12,5.24,,100.22,100.82,77.37,High income,Europe & Central Asia,13.4115,52.5235
DEU,Germany,2023,24,6.719,1.871,0.702,0.368,11.8,6232.59,53940.41,,,102.19,100.6,78.59,High income,Europe & Central Asia,13.4115,52.5235
DEU,Germany,2024,22,6.753,1.785,0.776,0.351,,,55800.22,,,,,,High income,Europe & Central Asia,13.4115,52.5235
DNK,Denmark,2019,2,7.646,1.327,0.979,0.495,10.15,6058.83,59404.27,7.28,,100.55,129.31,81.69,High income,Europe & Central Asia,12.5681,55.6763
DNK,Denmark,2020,2,7.62,1.502,0.763,0.485,10.72,6530.48,60985.49,7.39,,100.46,130.0,82.66,High income,Europe & Central Asia,12.5681,55.6763
DNK,Denmark,2021,2,7.636,1.953,0.777,0.532,10.75,7465.77,69727.99,6.96,,100.31,131.77,83.98,High income,Europe & Central Asia,12.5681,55.6763
DNK,Denmark,2022,2,7.586,1.949,0.537,0.525,9.48,6456.08,68091.32,6.36,,100.24,130.33,84.59,High income,Europe & Central Asia,12.5681,55.6763
DNK,Denmark,2023,2,7.583,1.908,0.699,0.548,9.42,6432.37,68453.88,,,99.87,126.98,81.23,High income,Europe & Central Asia,12.5681,55.6763
DNK,Denmark,2024,2,7.521,1.825,0.82,0.488,,,71851.76,,,,,,High income,Europe & Central Asia,12.5681,55.6763
DOM,Dominican Republic,2019,68,5.689,0.983,0.742,0.116,4.24,346.12,8183.02,4.04,93.68,112.33,81.86,,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DOM,Dominican Republic,2020,73,5.545,1.106,0.555,0.144,4.94,353.79,7135.22,4.52,93.7,105.93,80.04,58.73,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DOM,Dominican Republic,2021,69,5.737,1.538,0.577,0.179,4.92,416.68,8527.08,3.58,93.74,96.87,75.7,56.47,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DOM,Dominican Republic,2022,73,5.569,1.536,0.351,0.195,4.57,462.26,10104.24,3.61,93.7,100.49,76.53,55.17,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DOM,Dominican Republic,2023,69,5.823,1.517,0.511,0.196,,,10630.43,3.76,94.31,101.64,75.48,58.24,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DOM,Dominican Republic,2024,76,5.846,1.457,0.615,0.186,,,10875.66,,94.03,101.94,76.36,57.65,Upper middle income,Latin America & Caribbean ,-69.8908,18.479
DZA,Algeria,2019,100,5.005,0.944,0.745,0.129,5.42,242.07,4468.45,5.58,,106.07,,53.86,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
DZA,Algeria,2020,109,4.887,0.946,0.552,0.12,5.64,211.07,3743.54,6.19,,108.53,,53.38,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
DZA,Algeria,2021,96,5.122,1.363,0.643,0.15,5.01,208.53,4160.56,5.51,,104.74,,54.22,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
DZA,Algeria,2022,81,5.329,1.353,0.409,0.152,3.62,179.7,4961.55,4.75,,105.75,104.55,53.39,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
DZA,Algeria,2023,85,5.364,1.324,0.568,0.2,,,5364.03,5.61,,105.84,101.26,55.53,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
DZA,Algeria,2024,84,5.571,1.315,0.782,0.219,,,5631.18,,,106.37,105.16,54.43,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.05097,36.7397
ECU,Ecuador,2019,58,5.925,0.853,0.839,0.087,7.81,484.47,6205.06,4.25,,98.32,93.84,47.26,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ECU,Ecuador,2020,66,5.764,0.935,0.64,0.062,8.66,473.02,5463.65,4.26,93.63,98.12,93.98,56.91,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ECU,Ecuador,2021,76,5.533,1.352,0.708,0.083,8.21,498.61,6061.32,3.65,94.48,98.18,94.59,,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ECU,Ecuador,2022,74,5.559,1.343,0.476,0.069,7.53,492.84,6515.59,3.6,96.26,99.57,94.13,59.88,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ECU,Ecuador,2023,74,5.725,1.315,0.64,0.078,,,6737.85,3.89,,97.25,92.81,67.89,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ECU,Ecuador,2024,62,5.965,1.299,0.702,0.066,,,6874.71,,,,,,Upper middle income,Latin America & Caribbean ,-78.5243,-0.229498
ESP,Spain,2019,28,6.401,1.231,1.051,0.11,9.13,2713.62,29786.52,4.2,,103.19,118.52,91.02,High income,Europe & Central Asia,-3.70327,40.4167
ESP,Spain,2020,27,6.491,1.375,0.826,0.124,10.73,2898.01,27233.94,4.85,98.59,103.41,117.37,90.95,High income,Europe & Central Asia,-3.70327,40.4167
ESP,Spain,2021,29,6.476,1.808,0.808,0.149,10.31,3144.11,30799.48,4.81,99.7,102.9,119.11,94.59,High income,Europe & Central Asia,-3.70327,40.4167
ESP,Spain,2022,32,6.436,1.798,0.567,0.157,9.74,2910.84,30270.27,4.59,,102.45,119.02,94.51,High income,Europe & Central Asia,-3.70327,40.4167
ESP,Spain,2023,36,6.421,1.766,0.729,0.177,,,33509.01,,,103.0,118.36,93.73,High income,Europe & Central Asia,-3.70327,40.4167
ESP,Spain,2024,38,6.466,1.69,0.894,0.18,,,35297.01,,,,,,High income,Europe & Central Asia,-3.70327,40.4167
EST,Estonia,2019,51,6.022,1.192,0.843,0.202,6.82,1599.35,24021.25,5.16,,98.16,112.29,72.71,High income,Europe & Central Asia,24.7586,59.4392
EST,Estonia,2020,40,6.189,1.344,0.64,0.263,7.58,1789.03,23933.99,5.44,,98.35,112.53,72.04,High income,Europe & Central Asia,24.7586,59.4392
EST,Estonia,2021,36,6.341,1.793,0.728,0.333,7.48,2091.16,27953.77,5.22,,98.81,113.01,73.15,High income,Europe & Central Asia,24.7586,59.4392
EST,Estonia,2022,31,6.455,1.798,0.494,0.372,6.99,1998.89,28451.15,5.21,,99.26,112.55,71.43,High income,Europe & Central Asia,24.7586,59.4392
EST,Estonia,2023,34,6.448,1.752,0.657,0.401,,,30133.3,,,98.34,108.44,67.62,High income,Europe & Central Asia,24.7586,59.4392
EST,Estonia,2024,39,6.417,1.65,0.642,0.378,,,31170.09,,,,,,High income,Europe & Central Asia,24.7586,59.4392
ETH,Ethiopia,2019,136,4.186,0.315,0.484,0.117,3.24,25.94,828.71,4.48,55.05,,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
ETH,Ethiopia,2020,133,4.275,0.37,0.331,0.114,3.48,28.28,905.31,4.09,,112.67,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
ETH,Ethiopia,2021,131,4.241,0.788,0.457,0.136,3.21,26.07,910.95,4.07,54.89,101.34,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
ETH,Ethiopia,2022,124,4.091,0.793,0.25,0.101,2.85,27.07,1011.07,3.74,60.46,84.63,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
ETH,Ethiopia,2023,130,3.861,0.792,0.42,0.101,,,,2.93,,83.73,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
ETH,Ethiopia,2024,132,3.898,0.757,0.416,0.1,,,,2.3,,84.42,,,Not classified,Sub-Saharan Africa ,38.7468,9.02274
FIN,Finland,2019,1,7.809,1.285,0.961,0.478,9.17,4459.93,48358.18,6.45,,99.56,144.61,94.59,High income,Europe & Central Asia,24.9525,60.1608
FIN,Finland,2020,1,7.842,1.446,0.741,0.481,9.63,4736.21,48828.68,6.68,,99.82,143.12,96.47,High income,Europe & Central Asia,24.9525,60.1608
FIN,Finland,2021,1,7.821,1.892,0.775,0.534,9.83,5261.91,53099.14,6.59,,99.35,143.36,100.87,High income,Europe & Central Asia,24.9525,60.1608
FIN,Finland,2022,1,7.804,1.888,0.535,0.535,9.66,4902.04,50440.56,6.38,,98.62,144.85,104.94,High income,Europe & Central Asia,24.9525,60.1608
FIN,Finland,2023,1,7.741,1.844,0.695,0.546,,,52821.51,,,99.12,142.86,108.13,High income,Europe & Central Asia,24.9525,60.1608
FIN,Finland,2024,1,7.736,1.749,0.824,0.502,,,53188.62,,,,,,High income,Europe & Central Asia,24.9525,60.1608
FRA,France,2019,23,6.664,1.268,1.03,0.227,11.1,4508.76,40408.28,5.37,,102.45,104.08,67.73,High income,Europe & Central Asia,2.35097,48.8566
FRA,France,2020,21,6.69,1.421,0.804,0.235,12.07,4747.51,39169.86,5.66,,102.65,104.57,68.87,High income,Europe & Central Asia,2.35097,48.8566
FRA,France,2021,20,6.687,1.863,0.808,0.266,12.29,5376.75,43725.1,5.42,,102.58,104.52,69.94,High income,Europe & Central Asia,2.35097,48.8566
FRA,France,2022,21,6.661,1.856,0.566,0.27,11.88,4865.18,41082.81,5.32,,102.71,104.32,71.51,High income,Europe & Central Asia,2.35097,48.8566
FRA,France,2023,27,6.609,1.818,0.727,0.281,,,44690.93,,,103.27,103.96,70.45,High income,Europe & Central Asia,2.35097,48.8566
FRA,France,2024,33,6.593,1.733,0.832,0.264,,,46150.49,,,,,,High income,Europe & Central Asia,2.35097,48.8566
GAB,Gabon,2019,108,4.829,0.988,0.523,0.056,2.78,206.0,7441.18,2.87,,100.17,70.26,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GAB,Gabon,2020,112,4.852,1.037,0.362,0.064,3.42,225.32,6605.8,3.4,,,,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GAB,Gabon,2021,106,4.958,1.459,0.396,0.099,2.69,228.85,8181.41,2.7,88.86,,,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GAB,Gabon,2022,94,5.035,1.438,0.183,0.102,2.86,247.1,8409.21,2.21,,,,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GAB,Gabon,2023,95,5.106,1.403,0.344,0.1,,,8071.4,2.32,,,,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GAB,Gabon,2024,97,5.12,1.386,0.387,0.086,,,8218.76,,,,,,Upper middle income,Sub-Saharan Africa ,9.45162,0.38832
GBR,United Kingdom,2019,13,7.165,1.273,0.976,0.323,9.95,4258.63,42794.0,5.26,,101.91,117.09,65.48,High income,Europe & Central Asia,-0.126236,51.5002
GBR,United Kingdom,2020,17,7.064,1.423,0.757,0.306,11.97,4816.15,40404.81,5.44,,102.22,114.57,69.37,High income,Europe & Central Asia,-0.126236,51.5002
GBR,United Kingdom,2021,17,6.943,1.867,0.75,0.329,12.02,5612.05,46926.48,5.91,,102.19,113.68,76.72,High income,Europe & Central Asia,-0.126236,51.5002
GBR,United Kingdom,2022,19,6.796,1.857,0.511,0.34,11.05,5035.62,46062.99,,,102.54,113.26,79.73,High income,Europe & Central Asia,-0.126236,51.5002
GBR,United Kingdom,2023,20,6.749,1.822,0.672,0.351,10.87,5366.78,49200.81,,,102.56,112.4,80.5,High income,Europe & Central Asia,-0.126236,51.5002
GBR,United Kingdom,2024,23,6.728,1.725,0.779,0.318,,,52636.79,,,,,,High income,Europe & Central Asia,-0.126236,51.5002
GEO,Georgia,2019,117,4.673,0.847,0.695,0.174,6.59,306.46,4741.28,3.83,99.9,101.24,111.9,69.65,Upper middle income,Europe & Central Asia,44.793,41.71
GEO,Georgia,2020,108,4.891,1.03,0.498,0.181,8.34,351.94,4300.86,3.81,99.94,100.78,108.07,71.81,Upper middle income,Europe & Central Asia,44.793,41.71
GEO,Georgia,2021,105,4.973,1.467,0.595,0.208,8.32,413.72,5083.61,3.59,99.97,101.29,106.2,77.23,Upper middle income,Europe & Central Asia,44.793,41.71
GEO,Georgia,2022,90,5.109,1.477,0.366,0.201,7.26,477.71,6729.85,3.75,99.57,102.73,103.71,79.33,Upper middle income,Europe & Central Asia,44.793,41.71
GEO,Georgia,2023,91,5.185,1.467,0.524,0.174,,,8283.67,3.71,99.56,100.89,103.18,78.27,Upper middle income,Europe & Central Asia,44.793,41.71
GEO,Georgia,2024,91,5.4,1.444,0.482,0.172,,,9193.66,3.98,99.68,99.36,100.96,,Upper middle income,Europe & Central Asia,44.793,41.71
GHA,Ghana,2019,91,5.148,0.576,0.432,0.057,3.25,71.15,2186.66,3.15,,99.88,71.19,17.36,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GHA,Ghana,2020,95,5.088,0.68,0.287,0.058,4.43,97.38,2195.45,3.41,,98.4,74.01,18.61,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GHA,Ghana,2021,111,4.872,1.112,0.409,0.056,3.86,94.4,2445.19,3.4,76.49,99.45,76.21,19.2,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GHA,Ghana,2022,107,4.605,1.101,0.197,0.035,3.7,82.32,2229.89,2.91,,98.23,77.82,20.45,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GHA,Ghana,2023,120,4.289,1.077,0.36,0.028,,,2383.9,,,,,22.1,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GHA,Ghana,2024,125,4.34,1.053,0.438,0.025,,,2405.79,,,,,,Lower middle income,Sub-Saharan Africa ,-0.20795,5.57045
GIN,Guinea,2019,102,4.949,0.39,0.334,0.112,4.09,42.17,1031.34,1.86,,,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GIN,Guinea,2020,102,4.984,0.42,0.206,0.111,3.9,41.1,1053.66,2.45,,100.47,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GIN,Guinea,2021,109,4.891,0.848,0.275,0.116,3.72,44.1,1244.97,2.04,,,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GIN,Guinea,2022,91,5.072,0.844,0.072,0.102,3.96,55.04,1416.6,2.01,,,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GIN,Guinea,2023,97,5.023,0.831,0.236,0.107,,,1555.49,1.72,,,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GIN,Guinea,2024,102,4.929,0.873,0.306,0.098,,,1717.02,,,,,,Lower middle income,Sub-Saharan Africa ,-13.7,9.51667
GRC,Greece,2019,77,5.515,1.128,0.979,0.049,8.2,1569.03,19335.36,3.55,,97.64,106.53,143.96,High income,Europe & Central Asia,23.7166,37.9792
GRC,Greece,2020,68,5.723,1.273,0.76,0.074,9.52,1674.78,17886.73,,,97.28,103.62,143.69,High income,Europe & Central Asia,23.7166,37.9792
GRC,Greece,2021,58,5.948,1.703,0.774,0.108,9.18,1846.37,20654.7,,,97.33,104.78,150.61,High income,Europe & Central Asia,23.7166,37.9792
GRC,Greece,2022,58,5.931,1.708,0.535,0.097,8.5,1768.11,20971.83,3.38,,101.19,106.22,166.67,High income,Europe & Central Asia,23.7166,37.9792
GRC,Greece,2023,64,5.934,1.684,0.696,0.093,,,23400.73,,,102.02,105.19,165.11,High income,Europe & Central Asia,23.7166,37.9792
GRC,Greece,2024,81,5.776,1.608,0.725,0.063,,,24752.11,,,,,,High income,Europe & Central Asia,23.7166,37.9792
GTM,Guatemala,2019,29,6.399,0.754,0.706,0.098,6.17,278.59,4512.0,3.19,,101.98,52.56,22.56,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
GTM,Guatemala,2020,30,6.435,0.845,0.519,0.105,6.46,289.22,4477.62,3.29,,101.5,51.8,,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
GTM,Guatemala,2021,39,6.262,1.274,0.522,0.115,6.98,341.15,4912.62,3.09,,103.03,48.16,,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
GTM,Guatemala,2022,43,6.15,1.287,0.31,0.066,7.44,396.08,5358.7,3.21,83.03,103.0,45.89,,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
GTM,Guatemala,2023,42,6.287,1.26,0.467,0.078,,,5758.31,3.11,83.04,102.03,47.38,27.29,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
GTM,Guatemala,2024,44,6.362,1.249,0.376,0.085,,,6150.03,,82.11,101.49,49.58,,Upper middle income,Latin America & Caribbean ,-90.5328,14.6248
HND,Honduras,2019,56,5.953,0.599,0.792,0.087,7.28,183.75,2502.33,5.98,88.51,85.36,64.35,25.32,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HND,Honduras,2020,59,5.919,0.703,0.593,0.083,9.04,212.74,2307.61,6.1,,83.66,58.43,,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HND,Honduras,2021,55,6.022,1.111,0.555,0.076,9.16,253.63,2735.15,5.88,,80.89,54.5,,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HND,Honduras,2022,53,6.023,1.115,0.341,0.062,8.28,251.04,3003.29,4.48,88.28,82.29,53.86,,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HND,Honduras,2023,61,5.968,1.091,0.502,0.081,,,3227.46,4.55,87.09,82.55,54.5,,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HND,Honduras,2024,63,5.964,1.036,0.436,0.079,,,3426.43,,88.25,78.97,51.76,,Lower middle income,Latin America & Caribbean ,-87.4667,15.1333
HRV,Croatia,2019,79,5.505,1.109,0.901,0.012,6.74,1040.09,15563.82,3.95,,99.0,105.14,74.05,High income,Europe & Central Asia,15.9614,45.8069
HRV,Croatia,2020,60,5.882,1.251,0.703,0.0,7.65,1094.53,14808.46,4.41,,99.49,105.59,74.74,High income,Europe & Central Asia,15.9614,45.8069
HRV,Croatia,2021,47,6.125,1.705,0.709,0.0,8.01,1384.12,17789.93,4.09,,99.74,105.88,78.01,High income,Europe & Central Asia,15.9614,45.8069
HRV,Croatia,2022,48,6.125,1.727,0.475,0.003,7.22,1344.19,18466.1,,,100.53,105.58,80.76,High income,Europe & Central Asia,15.9614,45.8069
HRV,Croatia,2023,63,5.942,1.71,0.637,0.043,,,21865.46,,,101.16,105.03,81.18,High income,Europe & Central Asia,15.9614,45.8069
HRV,Croatia,2024,72,5.87,1.644,0.669,0.065,,,23931.45,,,,,,High income,Europe & Central Asia,15.9614,45.8069
HTI,Haiti,2019,142,3.721,0.285,0.374,0.162,3.91,49.33,1352.17,1.08,,,,,Lower middle income,Latin America & Caribbean ,-72.3288,18.5392
HTI,Haiti,2020,143,3.615,0.294,0.227,0.139,3.22,44.43,1290.33,1.11,,,,,Lower middle income,Latin America & Caribbean ,-72.3288,18.5392
HUN,Hungary,2019,53,6.0,1.164,0.807,0.028,6.28,1054.28,17012.86,4.22,,96.62,102.56,52.36,High income,Europe & Central Asia,19.0408,47.4984
HUN,Hungary,2020,53,5.992,1.301,0.615,0.04,7.29,1172.84,16386.93,4.15,,97.17,101.99,54.6,High income,Europe & Central Asia,19.0408,47.4984
HUN,Hungary,2021,51,6.086,1.748,0.668,0.064,7.38,1381.62,19030.63,4.68,,101.46,99.7,56.53,High income,Europe & Central Asia,19.0408,47.4984
HUN,Hungary,2022,51,6.041,1.754,0.435,0.065,6.69,1224.43,18483.64,3.81,,103.48,102.91,58.07,High income,Europe & Central Asia,19.0408,47.4984
HUN,Hungary,2023,56,6.017,1.722,0.596,0.067,6.36,1407.49,22312.18,,,103.57,105.42,56.59,High income,Europe & Central Asia,19.0408,47.4984
HUN,Hungary,2024,69,5.915,1.638,0.587,0.057,,,23310.75,,,,,,High income,Europe & Central Asia,19.0408,47.4984
IDN,Indonesia,2019,84,5.286,0.892,0.61,0.038,2.88,118.22,4106.95,0.96,,101.26,94.95,37.32,Upper middle income,East Asia & Pacific,106.83,-6.19752
IDN,Indonesia,2020,82,5.345,0.954,0.433,0.046,3.42,131.82,3853.7,1.02,96.0,100.95,96.93,38.17,Upper middle income,East Asia & Pacific,106.83,-6.19752
IDN,Indonesia,2021,87,5.24,1.382,0.539,0.047,3.71,158.9,4287.17,1.03,,100.31,97.84,40.63,Upper middle income,East Asia & Pacific,106.83,-6.19752
IDN,Indonesia,2022,83,5.277,1.384,0.314,0.038,2.69,127.44,4730.83,0.86,,98.7,97.82,42.33,Upper middle income,East Asia & Pacific,106.83,-6.19752
IDN,Indonesia,2023,80,5.568,1.361,0.472,0.055,,,4876.31,1.28,,98.16,96.0,44.88,Upper middle income,East Asia & Pacific,106.83,-6.19752
IDN,Indonesia,2024,83,5.617,1.288,0.454,0.044,,,4925.43,,,100.04,98.84,,Upper middle income,East Asia & Pacific,106.83,-6.19752
IND,India,2019,144,3.573,0.731,0.541,0.106,2.95,60.69,2041.43,3.9,74.91,99.91,75.87,28.8,Lower middle income,South Asia,77.225,28.6353
IND,India,2020,139,3.819,0.741,0.383,0.106,3.34,63.83,1907.04,4.29,75.54,102.04,77.98,29.56,Lower middle income,South Asia,77.225,28.6353
IND,India,2021,136,3.777,1.167,0.471,0.123,3.35,75.55,2239.61,4.63,76.07,103.2,80.84,31.32,Lower middle income,South Asia,77.225,28.6353
IND,India,2022,126,4.036,1.159,0.252,0.111,3.31,79.52,2347.45,4.1,76.32,112.07,81.66,32.45,Lower middle income,South Asia,77.225,28.6353
IND,India,2023,126,4.054,1.166,0.417,0.122,,,2530.12,,81.7,113.16,79.33,34.01,Lower middle income,South Asia,77.225,28.6353
IND,India,2024,118,4.389,1.149,0.316,0.12,,,2696.66,,,120.52,78.11,34.42,Lower middle income,South Asia,77.225,28.6353
IRL,Ireland,2019,16,7.094,1.447,0.976,0.373,6.72,5462.73,81810.19,3.23,,100.98,138.09,75.18,High income,Europe & Central Asia,-6.26749,53.3441
IRL,Ireland,2020,15,7.085,1.644,0.753,0.367,7.06,6098.27,86622.51,3.19,,101.37,135.22,74.68,High income,Europe & Central Asia,-6.26749,53.3441
IRL,Ireland,2021,13,7.041,2.129,0.779,0.408,6.6,6764.26,103961.98,2.9,,99.98,135.25,78.78,High income,Europe & Central Asia,-6.26749,53.3441
IRL,Ireland,2022,14,6.911,2.152,0.539,0.409,6.12,6448.02,105234.51,,,99.62,133.15,76.6,High income,Europe & Central Asia,-6.26749,53.3441
IRL,Ireland,2023,17,6.838,2.129,0.7,0.418,,,103887.8,,,,,,High income,Europe & Central Asia,-6.26749,53.3441
IRL,Ireland,2024,15,6.889,1.988,0.823,0.382,,,107316.34,,,,,,High income,Europe & Central Asia,-6.26749,53.3441
IRQ,Iraq,2019,110,4.785,0.982,0.529,0.073,4.28,241.74,5671.86,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
IRQ,Iraq,2020,111,4.854,0.91,0.381,0.041,5.76,248.05,4295.19,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
IRQ,Iraq,2021,107,4.941,1.289,0.554,0.046,5.25,251.6,4868.49,,84.06,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
IRQ,Iraq,2022,98,4.941,1.281,0.324,0.038,4.29,254.62,6520.73,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
IRQ,Iraq,2023,92,5.166,1.249,0.498,0.048,,,5965.32,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
IRQ,Iraq,2024,101,4.976,1.261,0.589,0.069,,,6073.61,,,,,,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",44.394,33.3302
ISL,Iceland,2019,4,7.504,1.327,1.001,0.145,8.64,5912.01,68452.24,7.6,,98.81,112.03,70.61,High income,Europe & Central Asia,-21.8952,64.1353
ISL,Iceland,2020,4,7.554,1.482,0.772,0.17,9.68,5692.89,59023.57,8.58,,98.56,110.49,74.59,High income,Europe & Central Asia,-21.8952,64.1353
ISL,Iceland,2021,3,7.557,1.936,0.803,0.191,9.79,6722.42,69178.4,8.21,,98.57,115.16,86.52,High income,Europe & Central Asia,-21.8952,64.1353
ISL,Iceland,2022,3,7.53,1.926,0.559,0.187,9.29,6851.63,75121.02,7.29,,98.51,112.59,84.99,High income,Europe & Central Asia,-21.8952,64.1353
